PIRSF000001	cytochrome c/cytochrome c2
PIRSF037610	BLOC-1 complex, muted subunit
PIRSF037611	threonine dehydratase/serine racemace
PIRSF037617	amine oxidase (copper-containing)
PIRSF037618	S-adenosyl-L-methionine dependent RNA methyltransferase, bacterial type
PIRSF037621	
PIRSF037623	normocyte/reticulocyte binding protein
PIRSF037624	
PIRSF037625	HERC protein 
PIRSF037626	galectin 3
PIRSF037627	beta-1,3-galactosyltransferase, plant type 
PIRSF037629	dysbindin 
PIRSF037630	BLOC-1 complex, subunit 3
PIRSF037631	snapin
PIRSF037632	UBX domain-containing protein 6
PIRSF037633	
PIRSF037634	HS1-associating protein X-1
PIRSF037635	activator of apoptosis harakiri
PIRSF037636	NADH-ubiquinone oxidoreductase 23 kDa subunit
PIRSF037637	histone deacetylase complex, subunit SAP18
PIRSF037638	leukocyte-specific transcript 1 protein 
PIRSF037639	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex subunit 4
PIRSF037640	sarcolipin
PIRSF037642	uncharacterized conserved protein
PIRSF037643	Casp8 and Fadd-like apoptosis regulator/caspase, types 8/10
PIRSF037644	inhibitor of apoptosis protein with CARD domain
PIRSF037645	cytochrome c1, Alveolata type
PIRSF037646	apoptotic protease-activating factor 1
PIRSF037647	dynein regulator, Lis1 type
PIRSF037648	
PIRSF037649	Apolipophorin-III
PIRSF037653	sex-determining region Y protein 
PIRSF037654	uncharacterized conserved protein
PIRSF037655	uncharacterized conserved protein
PIRSF037656	uncharacterized ESAT-6-like protein, EsxN type
PIRSF037657	lipoprotein, LppL type
PIRSF037658	uncharacterized conserved protein
PIRSF037659	hypothetical lipoprotein YdiK
PIRSF037660	hemagglutinin, component HA-17
PIRSF037661	L-2,4-diaminobutyric acid acetyltransferase
PIRSF037663	acetyltransferase, GNAT family type
PIRSF037664	methane monooxygenase, component D
PIRSF037665	uncharacterized protein with PPE domain
PIRSF037666	spore germination protein GerPD
PIRSF037667	spore germination protein GerPB
PIRSF037669	dual specificity protein phosphatase CDC14
PIRSF037670	uncharacterized conserved protein
PIRSF037671	transmembrane transporter protein, chloroquine resistant type
PIRSF037672	uncharacterized conserved protein, YitR type
PIRSF037673	uncharacterized conserved protein
PIRSF037674	malonate decarboxylase acyl carrier protein
PIRSF037675	Biotinylated protein TB7.3 
PIRSF037676	uncharacterized conserved protein
PIRSF037677	DNA mismatch repair protein Msh6
PIRSF037678	survival motor neuron protein
PIRSF037680	
PIRSF037681	
PIRSF037682	salivary gland allergen Aed3
PIRSF037683	polyhedrin
PIRSF037684	interleukin-12, subunit alpha
PIRSF037689	agglutinin
PIRSF037690	lipase chaperone
PIRSF037691	uncharacterized conserved protein
PIRSF037692	uncharacterized conserved protein, YheE type
PIRSF037693	uncharacterized conserved protein
PIRSF037694	uncharacterized conserved protein
PIRSF037695	uncharacterized conserved protein
PIRSF037696	ABC-type uncharacterized transport system, periplasmic component, YbaE type
PIRSF037697	tryptophan-rich protein
PIRSF037698	dynactin, subunit 6
PIRSF037699	uncharacterized conserved protein
PIRSF037701	NADH dehydrogenase [ubiquinone] (complex I), beta subcomplex subunit 11
PIRSF037702	
PIRSF037703	
PIRSF037704	polyadenylate-binding protein 2
PIRSF037705	uncharacterized conserved protein
PIRSF037706	mitochondrial ribosomal protein MRP10
PIRSF037707	mitochondrial import receptor, TOM20 subunit
PIRSF037708	protein FYV7
PIRSF037709	cyclin-dependent kinase 2-associated protein 2
PIRSF037710	cytochrome c oxidase subunit VIIa-related protein, mitochondrial type
PIRSF037711	SH2 domain protein 1B
PIRSF037712	Tax1-binding protein 3
PIRSF037713	biopolymer transport exbB-like protein 1
PIRSF037714	TolR protein
PIRSF037716	uncharacterized conserved protein
PIRSF037717	uncharacterized conserved protein
PIRSF037718	uncharacterized conserved protein
PIRSF037721	succinate dehydrogenase, hydrophobic membrane anchor subunit
PIRSF037722	uncharacterized conserved protein
PIRSF037724	HTH transcriptional regulator, MJ1545 type
PIRSF037725	thiol-disulfide oxidoreductase, YkuV type
PIRSF037726	interleukin-22
PIRSF037727	uncharacterized conserved protein
PIRSF037728	uncharacterized conserved protein
PIRSF037729	exo-glucosaminidase, LytG type
PIRSF037730	cell-wall amidase, LytH type 
PIRSF037731	uncharacterized conserved protein
PIRSF037732	N-acetyltransferase, YlbP type
PIRSF037733	transcription factor FapR
PIRSF037735	nucleoside triphosphatase, YtkD type
PIRSF037736	SCO1 protein
PIRSF037737	Proline-rich antigen homolog 
PIRSF037738	uncharacterized conserved protein
PIRSF037739	acetolactate synthase, small subunit
PIRSF037742	ferredoxin oxidoreductase 1/2, ForD-type subunit
PIRSF037743	outer membrane lipoprotein SmpA/OmlA
PIRSF037744	toll-interleukin I receptor domain-containing adaptor protein, Ticam type
PIRSF037745	TIR domain-containing adapter protein TICAM-2
PIRSF037746	cytochrome P450, RhF type
PIRSF037747	cytochrome P450 with short chain dehydrogenase domain
PIRSF037748	ribonuclease HIII
PIRSF037749	ribonuclease H2, subunit A
PIRSF037750	toll-interleukin 1 receptor domain-containing adaptor protein, Tirap type
PIRSF037751	subtilisin-related protease with inserted PA domain, prokaryotic type
PIRSF037752	uncharacterized conserved protein
PIRSF037755	methyltransferase, METTL2 type
PIRSF037756	myeloid differentiation primary response protein MyD88 
PIRSF037757	U6 snRNA-associated Sm-like protein LSm8
PIRSF037758	halolysin
PIRSF037759	histone deposition protein Asf1
PIRSF037760	death domain-containing protein CRADD
PIRSF037761	negative elongation factor E
PIRSF037762	tripeptidyl-peptidase 2
PIRSF037764	dynamin, plant type
PIRSF037765	dynamin-like, plant
PIRSF037766	cell surface-associated protease, streptococcal type
PIRSF037767	
PIRSF037768	uncharacterized conserved protein
PIRSF037769	
PIRSF037770	Predicted: Similar to hydroxymethylbilane synthase
PIRSF037771	3-deoxy-D-manno-octulosonic acid kinase 
PIRSF037772	synaptosomal-associated protein 25  
PIRSF037773	subtilisin-related serine protease, Thermoanaerobacter AprE3 type
PIRSF037774	proteinase PrtB
PIRSF037775	lactocepin
PIRSF037776	uncharacterized HTH-type transcriptional regulator
PIRSF037777	uncharacterized conserved protein
PIRSF037778	membrane transporter, RibU/YfgL type
PIRSF037779	inner membrane protein oxaA
PIRSF037780	uncharacterized conserved protein
PIRSF037781	uncharacterized conserved protein
PIRSF037782	lipoprotein yifL
PIRSF037783	uncharacterized conserved protein
PIRSF037784	
PIRSF037785	recombination protein U
PIRSF037787	
PIRSF037788	tripeptidyl-peptidase 1
PIRSF037789	acetoacetate decarboxylase
PIRSF037790	Antigen 84 
PIRSF037791	
PIRSF037792	cell surface lipoprotein MPB83 
PIRSF037793	EsaB protein
PIRSF037794	DNA-3-methyladenine glycosylase
PIRSF037796	metallothionein
PIRSF037797	phycoerythrin alpha-subunit
PIRSF037798	chaperone HchA 
PIRSF037799	tautomerase, YdcE type
PIRSF037800	rhamnulose-1-phosphate aldolase
PIRSF037801	transcription initiation factor IIA large chain
PIRSF037802	
PIRSF037803	uncharacterized conserved protein
PIRSF037804	
PIRSF037805	
PIRSF037806	chloride intracellular channel protein
PIRSF037807	retinoic acid early inducible protein 1
PIRSF037808	
PIRSF037809	
PIRSF037810	
PIRSF037811	telethonin 
PIRSF037812	Baculoviral IAP repeat-containing protein 5 
PIRSF037813	beta-lactamase, HcpB type
PIRSF037814	
PIRSF037815	
PIRSF037816	viral cyclin
PIRSF037818	glucagon
PIRSF037819	L-rhamnose isomerase
PIRSF037820	pyrolysin
PIRSF037821	cell wall-associated protease 
PIRSF037822	putative proteinase, Streptococcus agalactiae type
PIRSF037823	
PIRSF037824	orexin
PIRSF037825	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase, delta subunit
PIRSF037826	transcription factor MafK
PIRSF037827	Bcl-2-like protein 11
PIRSF037828	SH2 domain protein 1A 
PIRSF037830	signal recognition particle receptor beta subunit
PIRSF037832	lysine N-acyltransferase MbtK
PIRSF037833	uncharacterized conserved protein
PIRSF037834	phenylacetic acid degradation protein, PaaC type
PIRSF037836	subtilisin-related serine protease with P and PKD domains
PIRSF037838	rubredoxin-type Fe(Cys)4 protein
PIRSF037839	ribonuclease H 
PIRSF037840	aldolase, YihT type
PIRSF037841	Nudix hydrolase 
PIRSF037844	Vpr-related protease
PIRSF037845	uncharacterized conserved protein
PIRSF037846	N-acetylmuramoyl-L-alanine amidase, YrvJ type
PIRSF037847	transcription repressor
PIRSF037848	pseudomonalisin-like protease
PIRSF037849	membrane-bound transcription factor site-1 protease
PIRSF037850	subtilisin-related protease, Euglenozoa type
PIRSF037851	subtilisin-related protease, Cyanobacteria type
PIRSF037852	subtilisin-related serine protease, SAV5721 type
PIRSF037853	voltage-gated potassium channel, bacteria type
PIRSF037854	1,4-dihydropyridine enantioselective esterase
PIRSF037855	stringent response related exopolyphosphatase/guanosine pentaphosphate phosphohydrolase 
PIRSF037856	
PIRSF037861	prion URE2 
PIRSF037862	subtilisin-like protease 2, Plasmodium
PIRSF037863	S-layer protein, Lactobacillus
PIRSF037864	subtilisin-related protease, MprA type
PIRSF037865	DNA fragmentation factor, alpha subunit
PIRSF037866	Na(+)/H(+) exchange regulatory cofactor NHE-RF
PIRSF037867	TNF-related apoptosis-inducing ligand receptor
PIRSF037868	
PIRSF037869	Zinc finger and BTB domain-containing protein
PIRSF037870	neuronal migration protein doublecortin
PIRSF037871	import inner membrane translocase, TIM44 subunit, mitochondrial type
PIRSF037874	adapter protein NCK
PIRSF037875	lantibiotic leader peptide-processing serine protease
PIRSF037877	proprotein convertase, subtilisin/kexin type 9
PIRSF037878	extracellular basic protease, BprV type
PIRSF037879	serine protease/ABC transporter Tag
PIRSF037880	parkin
PIRSF037881	leupaxin 
PIRSF037882	subtilisin-related serine protease, fervidolysin type
PIRSF037883	stannin
PIRSF037884	aspA-like microbial serine protease
PIRSF037885	signal recognition particle 43 kDa protein, 
PIRSF037887	
PIRSF037888	
PIRSF037890	antimicrobial protein
PIRSF037891	cyclotide
PIRSF037892	subtilisin-related serine protease, SRU_0565 type
PIRSF037893	subtilisin-related serine protease, Maqu_2796 type
PIRSF037894	subtilisin-related serine protease, CspA/B/C type
PIRSF037895	subtilisin-related serine protease, Sama_2696 type
PIRSF037896	cyclotide, kalata-B type
PIRSF037898	subtilisin-related serine protease, Sputw3181_3341 type
PIRSF037899	subtilisin-related serine protease, Moth_2364 type
PIRSF037900	subtilisin-related serine protease, PfSUB-1 type
PIRSF037901	subtilisin-related serine protease, Nmul_A1891 type
PIRSF037902	subtilisin-related serine protease, Ava_4226 type
PIRSF037903	subtilisin-related serine protease, GFO_2223 type
PIRSF037904	Antimicrobial peptide
PIRSF037905	subtilisin-related serine protease, CJE1557 type
PIRSF037906	antimicrobial peptide precusor
PIRSF037907	subtilisin-related serine protease, TK1689 type
PIRSF037908	
PIRSF037909	Subtilisin-PR1C-like serine protease
PIRSF037911	histone deacetylase class II, eukaryotic type
PIRSF037913	histone deacetylase class I, eukaryotic type
PIRSF037917	S-adenosyl-L-methionine dependent tRNA(1-methyladenosine) methyltransferase
PIRSF037918	
PIRSF037919	histone deacetylase class II, yeast type
PIRSF037920	Rab9 effector protein P40
PIRSF037921	receptor-interacting serine/threonine-protein kinase RIP-2
PIRSF037922	putative trypsin-related protease, Rhizobium type
PIRSF037923	uncharacterized conserved protein with trypsin and autotransporter beta domains
PIRSF037924	
PIRSF037925	uncharacterized conserved protein with trypsin domain
PIRSF037926	
PIRSF037927	inactive serine protease RAMP
PIRSF037928	phospholipid scramblase
PIRSF037929	neurotrypsin
PIRSF037930	lysyl endopeptidase
PIRSF037931	transmembrane serine protease, TMPRSS9 type
PIRSF037932	ataxin 2 binding protein, A2BP type
PIRSF037933	polyserase-2
PIRSF037934	transmembrane serine protease, TMPRSS7 type
PIRSF037935	transmembrane serine protease, TMPRSS13 type
PIRSF037936	protease IV
PIRSF037937	
PIRSF037938	NAD-dependent deacetylase sirtuin-2, eukaryotic type
PIRSF037939	TMPRSS2-like transmembrane serine protease
PIRSF037940	serine protease hepsin
PIRSF037941	transmembrane serine protease, TMPRSS11A type
PIRSF037942	core histone macro-H2A
PIRSF037943	sperm-associated antigen, SPAG7 type
PIRSF037944	barrier-to-autointegration factor
PIRSF037945	peptidoglycan recognition protein, PGRP-S type
PIRSF037947	protein XRP2 
PIRSF037948	uncharacterized protein with zinc finger MYND domain, BLu protein type
PIRSF037949	translation initiation factor 3, RNA-binding subunit
PIRSF037950	E3 ubiquitin-protein ligase RNF8
PIRSF037954	DNA fragmentation factor subunit beta
PIRSF037955	snurportin-1
PIRSF037956	uncharacterized protein with zinc finger Ran-binding domain, ZRANB2 type
PIRSF037958	SAM pointed domain-containing Ets transcription factor
PIRSF037959	CD2 antigen cytoplasmic tail-binding protein 2
PIRSF037960	BAG family molecular chaperone regulator 4
PIRSF037961	fibroblast growth factor, 15/19/21 types
PIRSF037962	FGFR1 oncogene partner
PIRSF037963	
PIRSF037964	T-cell receptor, alpha chain C region
PIRSF037966	trans-activator protein BZLF1, Epstein-Barr virus type
PIRSF037967	uncharacterized conserved protein
PIRSF037968	neuromedin-B
PIRSF037969	U1 small nuclear ribonucleoprotein C
PIRSF037971	membrane cofactor protein, CD46 type
PIRSF037973	vascular endothelial growth factor A 
PIRSF037974	uncharacterized conserved protein
PIRSF037975	intercellular adhesion molecule 2 
PIRSF037976	uncharacterized conserved protein
PIRSF037977	Negative elongation factor E
PIRSF037978	B-cell lymphoma 3-encoded protein 
PIRSF037979	
PIRSF037980	sarcosine oxidase, alpha subunit
PIRSF037981	dimethylglycine dehydrogenase
PIRSF037982	myeloid-associated differentiation marker
PIRSF037984	S-adenosyl-L-methionine dependent methionine synthase
PIRSF037985	uncharacterized protein with peptidoglycan-binding domain 1, Bll0764 type
PIRSF037986	Do-like serine proteinase with undefined repeats
PIRSF037987	uncharacterized conserved protein
PIRSF037988	uncharacterized protein with partial TerD and trypsin domains
PIRSF037989	uncharacterized protein with trypsin domain
PIRSF037991	uncharacterized protein with UBX domain, 7/2 types
PIRSF037992	heterogeneous nuclear ribonucleoprotein C, Raly type
PIRSF037993	proto-oncogene serine/threonine-protein kinase Pim-1
PIRSF037995	cannabinoid receptor 1 [Parent=PIRSF800006]
PIRSF037996	proteinase-activated receptor [Parent=PIRSF800006]
PIRSF037997	RNA-binding motif, single-stranded-interacting protein
PIRSF037998	cyclin-dependent kinase inhibitor p57
PIRSF037999	tumor necrosis factor receptor superfamily member 3
PIRSF038000	methyl-CpG binding domain protein 1
PIRSF038001	caspase, interleukin-1 beta convertase type
PIRSF038002	Ran-specific GTPase-activating protein
PIRSF038003	PINCH protein
PIRSF038004	methyl-CpG binding protein MBD3 
PIRSF038005	methyl-CpG binding protein MBD4
PIRSF038006	methyl-CpG binding protein MeCP2
PIRSF038007	interleukin-12, beta subunit
PIRSF038008	
PIRSF038009	
PIRSF038010	vasodilator-stimulated phosphoprotein
PIRSF038011	peroxiredoxin/glutaredoxin 
PIRSF038013	tumor necrosis factor ligand superfamily member, 10/11 types
PIRSF038014	Ubiquitin-conjugating enzyme 7-interacting protein 4 
PIRSF038015	chimaerin
PIRSF038016	telomeric repeat-binding factor
PIRSF038017	GTP-binding protein, GEM type
PIRSF038018	BH3-interacting domain death agonist
PIRSF038019	neurexophilin
PIRSF038020	
PIRSF038021	uncharacterized protein with RWD domain,  RWDD2 type
PIRSF038022	Caspase-1 inhibitor Iceberg
PIRSF038023	anthrax toxin receptor
PIRSF038024	uncharacterized conserved protein
PIRSF038025	bifunctional phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase/dual-specificity protein phosphatase PTEN 
PIRSF038026	Myc-associated factor X
PIRSF038027	ubiquitin-fold modifier 1
PIRSF038028	Cancer/testis antigen 1B
PIRSF038029	
PIRSF038031	glycine betaine/carnitine/choline ABC transporter
PIRSF038032	protoporphyrinogen IX oxidase, aerobic
PIRSF038033	FXYD domain-containing ion transport regulator
PIRSF038034	DNA-binding protein RFXANK
PIRSF038035	CTD small phosphatase-like protein
PIRSF038036	Cdc42 effector protein 2 (Binder of Rho GTPases 1)
PIRSF038037	Transmembrane gamma-carboxyglutamic acid protein
PIRSF038038	survival of motor neuron protein-interacting protein 1
PIRSF038039	Lin-7 homolog
PIRSF038040	Natural cytotoxicity triggering receptor 3
PIRSF038041	
PIRSF038043	nuclear hormone receptor, C. elegans type
PIRSF038048	Partner and localizer of BRCA2
PIRSF038049	CHD3-like chromodomain-helicase-DNA-binding protein, animal type
PIRSF038050	
PIRSF038051	lysine-specific histone demethylase
PIRSF038053	bifunctional splicing factor 3B, subunit 2/mitochondrial ribosomal protein Rsm27
PIRSF038054	zinc metalloproteinase, nas-7/8 types
PIRSF038055	zinc metalloproteinase, nas-9/10/11 types
PIRSF038056	SPAN protein/blastula protease 10
PIRSF038057	hatching enzyme, uvs.2 type
PIRSF038058	nuclear receptor-interacting protein 1
PIRSF038059	suppressor of cytokine signaling (SOCS) 4-7
PIRSF038061	potassium channel, subfamily K type
PIRSF038063	Signal-regulatory protein beta-1
PIRSF038064	uncharacterized conserved protein
PIRSF038065	tumor necrosis factor receptor superfamily member 11B
PIRSF038067	ETS translocation variant 2
PIRSF038068	forkhead box protein N3
PIRSF038070	translation initiation factor 3 subunit 5, eukaryotic
PIRSF038071	GDNF family receptor alpha
PIRSF038072	sodium-dependent phosphate transport protein 4 
PIRSF038073	beta-1,3-N-acetylglucosaminyltransferase, radical fringe type
PIRSF038074	peroxisome assembly protein 12
PIRSF038075	envelope protein, UL49A  herpesvirus type
PIRSF038076	US8A protein
PIRSF038077	Lipid phosphate phosphohydrolase 3
PIRSF038078	
PIRSF038079	torsin
PIRSF038080	etoposide-induced protein 2.4
PIRSF038081	
PIRSF038082	
PIRSF038083	uncharacterized protein with PDZ domain, GIPC type
PIRSF038084	histone acetyltransferase type B, catalytic subunit
PIRSF038085	leukocyte cell-derived chemotaxin 2
PIRSF038086	Nuclear pore complex-interacting protein
PIRSF038087	8-amino-7-oxononanoate synthase / 2-amino-3-ketobutyrate:CoA ligase [Parent=PIRSF800003]
PIRSF038089	glutamate-1-semialdehyde 2,1-aminomutase
PIRSF038092	FMRFamide-related peptides precursor
PIRSF038093	actin-related protein 2/3 complex, subunit 1
PIRSF038094	transmembrane prostate androgen-induced protein
PIRSF038095	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex subunit 1
PIRSF038096	apoptosis regulatory protein Siva
PIRSF038097	V-type ATPase, subunits e1/e2
PIRSF038098	SOX-12/11/4a protein
PIRSF038099	histone H3 lysine 4 demethylase (Jumonji/ARID domain-containing protein)
PIRSF038100	testis-specific protein TEX28
PIRSF038101	Splicing factor, arginine/serine-rich 12
PIRSF038102	beta 1,4-mannosyltransferase
PIRSF038105	COP9 signalosome complex, subunit 2
PIRSF038106	Sex-lethal homolog
PIRSF038107	Transducer of erbB-2
PIRSF038108	
PIRSF038109	Protein ariadne-2
PIRSF038110	methionine sulfoxide reductase
PIRSF038111	presenilin hop-1
PIRSF038112	SWI/SNF-related matrix-associated actin-dependent regulator
PIRSF038113	Nuclear hormone receptor family member nhr-169
PIRSF038114	Centaurin-alpha 1/2
PIRSF038115	LIGULELESS1 protein
PIRSF038116	G-protein coupled receptor 157 [Parent=PIRSF800007]
PIRSF038117	myrosinase-binding protein homolog
PIRSF038118	myrosinase-binding protein homolog with jacalin-like lectin domain 
PIRSF038119	nucleoporin, NUP53 type
PIRSF038120	ubiquitin carboxyl-terminal hydrolase, UCH37type
PIRSF038121	inward rectifier potassium channel, prokaryotic type
PIRSF038122	COBRA protein
PIRSF038123	pathogenesis-related genes transcriptional activator PTI6
PIRSF038124	cytochrome b6-f complex, subunit VI, plant type
PIRSF038125	eyes absent protein
PIRSF038126	SWI/SNF chromatin-remodeling complex, component hSNF5/Ini1
PIRSF038127	uncharacterized protein with LOB
PIRSF038128	chlorophyllase, chloroplast type
PIRSF038129	50S ribosomal protein L28
PIRSF038130	WRKY transcription factor, group II-c type
PIRSF038131	cytochrome c oxidase, subunit 5c
PIRSF038132	Nudix hydrolase, AtNUDT22 type
PIRSF038133	NuA4 histone acetyltransferase complex, Eaf3/MRG15 subunit
PIRSF038134	translocon at the outer envelope membrane of chloroplasts, GTPase subunits toc33/toc34
PIRSF038135	WD repeat protein 23 
PIRSF038136	
PIRSF038137	elicitor-responsive protein, FIERG1 type
PIRSF038138	
PIRSF038139	elongation factor 2 kinase
PIRSF038140	serine/threonine-protein kinase PLK4
PIRSF038141	protein phosphatase 1, regulatory subunits 12A/B/C, vertebrate type
PIRSF038142	rhodopsin, bacterial type
PIRSF038143	podocalyxin-like protein 1
PIRSF038144	ladinin 1
PIRSF038145	citron Rho-interacting kinase
PIRSF038146	serine/threonine-protein kinase RIO3
PIRSF038147	serine/threonine-protein kinase RIO1
PIRSF038148	arginine N-methyltransferase 2
PIRSF038149	pyruvate Pi dikinase regulator
PIRSF038150	Metaxin
PIRSF038151	mitochondrial import receptor subunit TOM22 homolog 2, plant type
PIRSF038153	WRKY transcription factor, group II-e type
PIRSF038154	transcription factor GTE6
PIRSF038155	protein ASYMMETRIC LEAVES
PIRSF038156	RNA polymerase II transcriptional coactivator KELP
PIRSF038157	chaperonin 21, chloroplast type
PIRSF038159	protein phosphatase 1, regulatory subunits 16A/B, vertebrate type
PIRSF038160	inhibitor of nuclear factor kappa-B kinase complex, regulatory subunit NEMO
PIRSF038161	S-adenosyl-L-methionine dependent  rRNA methyltransferase, Nop2 type
PIRSF038163	inositol-tetrakisphosphate 1-kinase 4
PIRSF038164	auxilin/cyclin G-associated kinase
PIRSF038165	mitogen-activated protein kinase kinase kinase, types 12/13
PIRSF038166	6,7-dimethyl-8-ribityllumazine synthase, chloroplast type
PIRSF038167	uncharacterized protein with J domain, atDjC72 type
PIRSF038168	mitogen-activated protein kinase kinase kinase 7
PIRSF038169	WD repeat protein 55
PIRSF038170	tRNA (adenine-N(1)-)-methyltransferase, non-catalytic TRM6 subunit
PIRSF038171	mitogen-activated protein kinase kinase kinase 8
PIRSF038172	mitogen-activated protein kinase kinase kinase kinase
PIRSF038173	pre-mRNA-splicing factor 3a subunit 2
PIRSF038174	MAPKKK 5-like kinase
PIRSF038175	mitogen-activated protein kinase kinase kinase 14
PIRSF038176	mitogen-activated protein kinase kinase kinase, types 2/3
PIRSF038177	NAD-dependent deacetylase sirtuin-1, animal type
PIRSF038178	serine/threonine-protein kinase, 24/25/MST4 types
PIRSF038179	Vesicle-associated membrane protein
PIRSF038180	Thylakoid lumenal 29.8 kDa protein, chloroplast
PIRSF038181	nuclear receptor coactivator
PIRSF038182	
PIRSF038183	WUSCHEL-related homeobox
PIRSF038184	GTP-binding protein, plant type
PIRSF038186	inositol-tetrakisphosphate 1-kinase
PIRSF038187	mitogen-activated protein kinase kinase kinase 7-interacting protein
PIRSF038188	mitogen-activated protein kinase kinase kinase 7-interacting protein 1
PIRSF038189	interleukin-1 receptor-associated kinase 4
PIRSF038190	interleukin-1 receptor associated kinase, IRAK-1/IRAK-2 types
PIRSF038192	transcriptional regulator, BtrU type
PIRSF038193	hyaluronidase
PIRSF038195	paired box protein PAX
PIRSF038196	interferon regulatory factor, types 1/2
PIRSF038198	WAP four-disulfide core domain protein 2
PIRSF038200	WAP12-like four-disulfide core domain protein
PIRSF038201	uncharacterized conserved protein, fungi type
PIRSF038202	bifunctional chondroitin-glucuronate C5-epimerase/chondroitin sulfate sulfotransferase
PIRSF038203	
PIRSF038204	distrobrevin
PIRSF038205	dystrophin-related protein 2
PIRSF038206	nibrin, plant type
PIRSF038207	protein phosphatase 1, glycogen targeting subunit, animal type
PIRSF038209	chondroitin-glucuronate C5-epimerase
PIRSF038210	
PIRSF038211	
PIRSF038212	ESCRT-1 complex, Vps37A subunit, animal type
PIRSF038213	ESCRT-1 complex, Vps23 subunit
PIRSF038214	ESCRT-1 complex, Vps37 subunit, fungal type
PIRSF038215	cripto-3-related protein
PIRSF038216	alpha-N-acetylglucosaminidase , clostridium type
PIRSF038219	histone H1
PIRSF038220	androgen receptor
PIRSF038221	mitochondrial ribosomal proten S10/tryptophanyl-tRNA synthetase
PIRSF038222	
PIRSF038223	heterochromatin protein 1 family member rhino in Drosophila
PIRSF038225	ESCRT-1 complex, Vps37 subunit, plant type
PIRSF038226	cast
PIRSF038227	caspase recruitment domain-containing protein, Nod1/Nod2 types
PIRSF038228	neuronal apoptosis inhibitory protein
PIRSF038229	syntaxin binding protein 5
PIRSF038231	uncharacterized conserved protein
PIRSF038232	death-associated protein kinase 3
PIRSF038233	testis-specific serine/threonine-protein kinase
PIRSF038234	axis inhibition protein (axin)
PIRSF038235	cAMP response element-binding protein (CREB)
PIRSF038236	Rab5 guanine nucleotide exchange factor 
PIRSF038237	Rab31 guanine nucleotide exchange factor Gapex-5
PIRSF038238	guanine nucleotide exchange factor, Vps9
PIRSF038239	WAP four-disulfide core domain protein 3
PIRSF038240	vacuolar protein sorting-associated protein 33
PIRSF038241	guanine nucleotide exchange factor, Vps39 type/TGF-beta receptor-associated protein 1
PIRSF038242	transmembrane serine protease, TMPRSS5 type
PIRSF038243	transmembrane serine protease, TMPRSS12 type
PIRSF038244	transmembrane serine protease, TMPRSS4 type
PIRSF038245	
PIRSF038246	ESCRT-2 complex, Vps36 subunit, animal/plant types
PIRSF038247	AAA ATPase, Vps4 type
PIRSF038248	Rab GTPase effector protein rabaptin-5
PIRSF038249	Rab GTPase effector protein rabaptin-5beta
PIRSF038252	Rho GTPase-activating protein, Rga1p/Rga2p types
PIRSF038255	Rho GTPase-activating protein, Bem3p type
PIRSF038256	
PIRSF038259	G-substrate
PIRSF038260	S-adenosyl-L-methionine dependent methyltransferase, UbiE/COQ5 bacterial type
PIRSF038261	phosphatidylethanolamine N-methyltransferase, PmtA bacterial type
PIRSF038264	transcription factor, Ovol1/Ovol2 types
PIRSF038265	Rho GTPase-activating protein, Oligophrenin 1/Graf types
PIRSF038266	S-adenosyl-L-methionine dependent histamine methyltransferase, MJ1123 type
PIRSF038267	Rho GTPase-activating protein, ARHGAP12 type
PIRSF038268	GTPase-activating protein, Nadrin/3BP-1 types
PIRSF038269	Rho GTPase-activating protein, Rgd1p type
PIRSF038270	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger protein
PIRSF038271	phosphatidylinositol 3-kinase, regulatory subunit, p85 type
PIRSF038272	uncharacterized conserved protein
PIRSF038274	sarcoglycan, beta/gamma/delta/zeta types
PIRSF038275	Ephrin-B
PIRSF038276	carboxylase, VKD type
PIRSF038277	exocyst complex, component Sec3, fungal type
PIRSF038278	exocyst complex, component Sec5, animal type
PIRSF038279	actin dynamics regulator, Lsb5p
PIRSF038280	exocyst complex, component Sec5, fungal type
PIRSF038281	exocyst complex, component Sec5, plant type
PIRSF038282	uncharacterized conserved protein
PIRSF038283	ADP-ribosylation factor GTPase-activating protein, Glo3p type
PIRSF038284	POU domain class 4 transcription factor, Brn3 type
PIRSF038285	cuticle collagen
PIRSF038286	PRAME family protein
PIRSF038287	potassium voltage-gated channel, subfamily H
PIRSF038288	polarity protein Par-3
PIRSF038289	BRAF-HDAC complex, BHC80 subunit
PIRSF038290	beta-1,4-galactosyltransferase 7
PIRSF038291	
PIRSF038292	TNFR1-associated DEATH domain protein
PIRSF038293	bifunctional polynucleotide 3'-phosphatase/polynucleotide 5'-hydroxyl-kinase
PIRSF038296	nuclear cap-binding complex, CBP80 subunit
PIRSF038298	
PIRSF038299	enoyl-CoA hydratase
PIRSF038300	uncharacterized conserved protein
PIRSF038302	uncharacterized conserved protein
PIRSF038303	Opa-interacting protein 5
PIRSF038304	photosystem II reaction center X protein
PIRSF038305	uncharacterized conserved protein
PIRSF038306	
PIRSF038307	uncharacterized conserved protein
PIRSF038308	mitochondrial ribosomal protein L44
